+----------------------------------------------------------------------------------------------------+
|INVENTORY RECORD                                                                                    |
|                                                                                                    |
|COMPANY: SUPERMARKET EXAMPLE INC.                                                                   |
|                                                                                                    |
|INST. EST.: 987.654.321            C.N.P.J. : 98.765.432/0001-99                                    |
|                                                                                                    |
+----------+-----------------------------------------+--+--------------------------------------------+
|          |                                         |  |VALUES                                      |
|SKU       |PRODUCT                                  |UN|QUANTITY    |UNIT PRICE    |TOTAL           |
|41        |Green Beans                              |PC|         762.|          9.24|       7040.88|
|42        |Vinegar                                  |PC|         139.|          4.29|        596.31|
|43        |Wine                                     |PC|         506.|          1.88|        951.28|
|44        |Sardines                                 |PC|          53.|         26.88|       1424.64|
|45        |Paper Towels                             |PC|         698.|          9.27|       6470.46|
|46        |Peas                                     |PC|         755.|         30.94|      23359.70|
|47        |Cereal                                   |PC|         144.|         37.14|       5348.16|
|48        |Chickpeas                                |PC|         495.|          5.45|       2697.75|
|49        |Frozen Vegetables                        |PC|         168.|         46.48|       7808.64|
|50        |Vinegar                                  |PC|         895.|         25.45|      22777.75|
|51        |Milk                                     |PC|         799.|         37.77|      30178.23|
|52        |Candy                                    |PC|         995.|         18.14|      18049.30|
|53        |Cauliflower                              |PC|         976.|         24.97|      24370.72|
|54        |Honey                                    |PC|         598.|         38.21|      22849.58|
|55        |Oil                                      |PC|          99.|         19.77|       1957.23|
|56        |Mayonnaise                               |PC|         914.|         24.94|      22795.16|
|57        |Eggplant                                 |PC|         356.|         10.39|       3698.84|
|58        |Pork Chop                                |PC|         964.|         12.36|      11915.04|
|59        |Avocado                                  |PC|         533.|         12.77|       6806.41|
|60        |Chocolate                                |PC|         845.|          2.57|       2171.65|
|61        |Tea                                      |PC|         965.|         40.67|      39246.55|
|62        |Tomato                                   |PC|          73.|         35.06|       2559.38|
|63        |Tomato                                   |PC|         450.|         40.65|      18292.50|
|64        |Green Beans                              |PC|         219.|          9.42|       2062.98|
|65        |Tuna Can                                 |PC|         503.|         12.23|       6151.69|
|66        |Coffee                                   |PC|         818.|         25.52|      20875.36|
|67        |Eggs                                     |PC|         365.|         23.27|       8493.55|
|68        |Paper Towels                             |PC|         403.|         35.82|      14435.46|
|69        |Tomato                                   |PC|         303.|          6.74|       2042.22|
|70        |Butter                                   |PC|         689.|         44.43|      30612.27|
|71        |Ice Cream                                |PC|         374.|         18.40|       6881.60|
|72        |Lime                                     |PC|         949.|          1.75|       1660.75|
|73        |Candy                                    |PC|         712.|         40.94|      29149.28|
|74        |Soap                                     |PC|         719.|         47.05|      33828.95|
|75        |Mustard                                  |PC|         808.|         28.77|      23246.16|
|76        |Banana                                   |PC|         262.|         29.62|       7760.44|
|77        |Soap                                     |PC|         297.|          6.78|       2013.66|
|78        |Mushrooms                                |PC|         741.|         31.87|      23615.67|
|79        |Lettuce                                  |PC|         607.|         41.38|      25117.66|
|80        |Lemon                                    |PC|         974.|         45.10|      43927.40|
|81        |Yogurt                                   |PC|         514.|         26.69|      13718.66|
|82        |Cucumber                                 |PC|         192.|         34.94|       6708.48|
|83        |Chocolate                                |PC|         801.|         43.04|      34475.04|
|84        |Eggplant                                 |PC|         305.|         25.72|       7844.60|
|85        |Avocado                                  |PC|         675.|         13.47|       9092.25|
|86        |Soap                                     |PC|         316.|         11.17|       3529.72|
|87        |Chickpeas                                |PC|         930.|          4.24|       3943.20|
|88        |Salmon                                   |PC|         755.|         16.03|      12102.65|
|89        |Potato Chips                             |PC|         587.|         15.01|       8810.87|
|90        |Flour                                    |PC|         657.|         13.26|       8711.82|
|91        |Broccoli                                 |PC|         995.|         26.33|      26198.35|
|92        |Salmon                                   |PC|         658.|         27.57|      18141.06|
|93        |Orange                                   |PC|         740.|         33.63|      24886.20|
|94        |Ketchup                                  |PC|         302.|         46.22|      13958.44|
|95        |Salmon                                   |PC|         591.|         46.41|      27428.31|
|96        |Apple                                    |PC|         728.|         16.01|      11655.28|
|97        |Yogurt                                   |PC|         145.|          2.00|        290.00|
|98        |Frozen Vegetables                        |PC|         252.|         43.24|      10896.48|
|99        |Soft Drinks                              |PC|         789.|         27.98|      22076.22|
|100       |Corn                                     |PC|         179.|         36.30|       6497.70|
|101       |Tea                                      |PC|         458.|         42.54|      19483.32|
|102       |Soft Drinks                              |PC|          16.|         23.53|        376.48|
|103       |Whiskey                                  |PC|         751.|         38.04|      28568.04|
|104       |Chickpeas                                |PC|         177.|          4.92|        870.84|
|105       |Avocado                                  |PC|         548.|         20.69|      11338.12|
|106       |Pasta                                    |PC|         540.|          5.26|       2840.40|
|107       |Mushrooms                                |PC|         760.|         29.76|      22617.60|
|108       |Rice                                     |PC|          13.|         42.78|        556.14|
|109       |Eggplant                                 |PC|         347.|         15.88|       5510.36|
|110       |Pasta                                    |PC|         945.|         25.35|      23955.75|
|111       |Soy Sauce                                |PC|         609.|          2.74|       1668.66|
|112       |Flour                                    |PC|         476.|         32.91|      15665.16|
|113       |Tea                                      |PC|         612.|          9.38|       5740.56|
|114       |Sardines                                 |PC|         248.|         18.90|       4687.20|
|115       |Juice                                    |PC|          51.|          9.81|        500.31|
|116       |Lemon                                    |PC|         699.|         18.05|      12616.95|
|117       |Butter                                   |PC|         947.|          2.09|       1979.23|
|118       |Oatmeal                                  |PC|         936.|         30.47|      28519.92|
|119       |Peanut Butter                            |PC|         768.|         21.15|      16243.20|
|120       |Oil                                      |PC|         291.|          3.32|        966.12|
|121       |Bread                                    |PC|         724.|         10.60|       7674.40|
|122       |Butter                                   |PC|         276.|         15.70|       4333.20|
|123       |Oatmeal                                  |PC|         687.|         32.88|      22588.56|
|124       |Tuna Can                                 |PC|         899.|         47.98|      43134.02|
|125       |Grapes                                   |PC|         178.|         41.18|       7330.04|
|126       |Apple                                    |PC|         815.|         33.29|      27131.35|
|127       |Ice Cream                                |PC|         236.|         24.69|       5826.84|
|128       |Grapes                                   |PC|         582.|         39.10|      22756.20|
|129       |Grapes                                   |PC|         403.|         20.68|       8334.04|
|130       |Toothpaste                               |PC|         789.|          5.77|       4552.53|
|131       |Beer                                     |PC|         476.|         42.90|      20420.40|
|132       |Sugar                                    |PC|         277.|          5.19|       1437.63|
|133       |Chicken Breast                           |PC|         691.|         49.47|      34183.77|
|134       |Cheese                                   |PC|          20.|         22.91|        458.20|
|135       |Toothpaste                               |PC|          52.|         15.55|        808.60|
|136       |Apple                                    |PC|         607.|         47.67|      28935.69|
|137       |Orange                                   |PC|         438.|         33.06|      14480.28|
|138       |Candy                                    |PC|         718.|         28.70|      20606.60|
|139       |Oatmeal                                  |PC|         435.|         36.42|      15842.70|
|140       |Eggplant                                 |PC|         122.|         42.87|       5230.14|
|141       |Ketchup                                  |PC|         732.|         27.11|      19844.52|
|142       |Wine                                     |PC|         141.|         40.57|       5720.37|
|143       |Grapes                                   |PC|         980.|         38.68|      37906.40|
|144       |Watermelon                               |PC|         650.|         46.34|      30121.00|
|145       |Lime                                     |PC|         100.|         38.09|       3809.00|
|146       |Grapes                                   |PC|         227.|          2.63|        597.01|
|147       |Wine                                     |PC|         723.|         31.62|      22861.26|
|148       |Orange                                   |PC|         563.|         44.20|      24884.60|
|149       |Zucchini                                 |PC|         631.|         18.36|      11585.16|
|150       |Salmon                                   |PC|         296.|         26.56|       7861.76|
|151       |Juice                                    |PC|         312.|         43.16|      13465.92|
|152       |Carrot                                   |PC|         452.|         18.32|       8280.64|
|153       |Mayonnaise                               |PC|          51.|         26.02|       1327.02|
|154       |Tuna Can                                 |PC|         428.|         33.05|      14145.40|
|155       |Onion                                    |PC|         190.|         25.41|       4827.90|
|156       |Peas                                     |PC|         868.|          8.09|       7022.12|
|157       |Chicken Breast                           |PC|         227.|          9.24|       2097.48|
|158       |Pepper                                   |PC|         872.|         24.96|      21765.12|
|159       |Carrot                                   |PC|         517.|         24.43|      12630.31|
|160       |Sugar                                    |PC|         888.|         47.59|      42259.92|
|161       |Honey                                    |PC|         949.|         28.20|      26761.80|
|162       |Yogurt                                   |PC|         686.|         37.51|      25731.86|
|163       |Onion                                    |PC|         869.|         25.15|      21855.35|
|164       |Bread                                    |PC|         701.|          5.47|       3834.47|
|165       |Candy                                    |PC|         156.|         15.05|       2347.80|
|166       |Bread                                    |PC|         920.|         18.44|      16964.80|
|167       |Frozen Vegetables                        |PC|          34.|         32.46|       1103.64|
|168       |Chicken Breast                           |PC|         332.|         13.34|       4428.88|
|169       |Milk                                     |PC|         107.|         31.72|       3394.04|
|170       |Eggplant                                 |PC|         256.|         31.14|       7971.84|
|171       |Milk                                     |PC|         263.|         35.75|       9402.25|
|172       |Mustard                                  |PC|         667.|          2.86|       1907.62|
|173       |Mushrooms                                |PC|         521.|         21.04|      10961.84|
|174       |Peas                                     |PC|         139.|          9.10|       1264.90|
|175       |Ice Cream                                |PC|         622.|         31.50|      19593.00|
|176       |Potato Chips                             |PC|          85.|         26.55|       2256.75|
|177       |Honey                                    |PC|         602.|         42.98|      25873.96|
|178       |Peas                                     |PC|         140.|         36.64|       5129.60|
|179       |Soy Sauce                                |PC|         179.|         35.98|       6440.42|
|180       |Pasta                                    |PC|         980.|         28.38|      27812.40|
|181       |Soft Drinks                              |PC|         904.|         49.25|      44522.00|
|182       |Ice Cream                                |PC|          79.|         39.41|       3113.39|
|183       |Wine                                     |PC|         228.|         36.09|       8228.52|
|184       |Beer                                     |PC|         406.|         18.33|       7441.98|
|185       |Banana                                   |PC|         772.|         18.30|      14127.60|
|186       |Frozen Vegetables                        |PC|         432.|          1.56|        673.92|
|187       |Frozen Vegetables                        |PC|         258.|          3.24|        835.92|
|188       |Juice                                    |PC|         679.|         23.13|      15705.27|
|189       |Olive Oil                                |PC|         395.|         28.36|      11202.20|
|190       |Tea                                      |PC|         897.|         34.40|      30856.80|
|191       |Frozen Pizza                             |PC|         560.|         16.84|       9430.40|
|192       |Watermelon                               |PC|         995.|          9.99|       9940.05|
|193       |Wine                                     |PC|         235.|         48.65|      11432.75|
|194       |Paper Towels                             |PC|         917.|         21.28|      19513.76|
|195       |Lime                                     |PC|         676.|         43.48|      29392.48|
|196       |Lime                                     |PC|         788.|         14.74|      11615.12|
|197       |Peas                                     |PC|         743.|         35.33|      26250.19|
|198       |Peanut Butter                            |PC|         675.|         23.09|      15585.75|
|199       |Olive Oil                                |PC|         902.|          9.17|       8271.34|
|200       |Tomato Sauce                             |PC|         885.|         20.56|      18195.60|
|201       |Olive Oil                                |PC|         956.|          2.19|       2093.64|
|202       |Chickpeas                                |PC|          25.|         16.08|        402.00|
|203       |Zucchini                                 |PC|         362.|         23.57|       8532.34|
|204       |Lettuce                                  |PC|         555.|          8.54|       4739.70|
|205       |Toilet Paper                             |PC|         933.|         42.50|      39652.50|
|206       |Butter                                   |PC|         895.|         10.74|       9612.30|
|207       |Milk                                     |PC|         357.|         30.47|      10877.79|
|208       |Tuna Can                                 |PC|         698.|          6.83|       4767.34|
|209       |Carrot                                   |PC|         199.|         47.67|       9486.33|
|210       |Eggplant                                 |PC|         287.|         46.22|      13265.14|
|211       |Salt                                     |PC|         904.|         32.57|      29443.28|
|212       |Pork Chop                                |PC|         256.|         43.00|      11008.00|
|213       |Garlic                                   |PC|         888.|          1.49|       1323.12|
|214       |Tuna Can                                 |PC|         446.|         40.59|      18103.14|
|215       |Shampoo                                  |PC|          53.|         48.02|       2545.06|
|216       |Soap                                     |PC|         297.|         36.24|      10763.28|
|217       |Pasta                                    |PC|         117.|          2.92|        341.64|
|218       |Jam                                      |PC|         299.|         48.18|      14405.82|
|219       |Pasta                                    |PC|         127.|         23.97|       3044.19|
|220       |Watermelon                               |PC|          36.|         28.16|       1013.76|
|221       |Mayonnaise                               |PC|         833.|          2.94|       2449.02|
|222       |Potato Chips                             |PC|         189.|         29.26|       5530.14|
|223       |Peas                                     |PC|         651.|         13.36|       8697.36|
|224       |Mushrooms                                |PC|         546.|          7.20|       3931.20|
|225       |Pasta                                    |PC|         317.|         11.55|       3661.35|
|226       |Garlic                                   |PC|         293.|          5.26|       1541.18|
|227       |Eggs                                     |PC|          73.|         29.28|       2137.44|
|228       |Toilet Paper                             |PC|         161.|         34.71|       5588.31|
|229       |Strawberry                               |PC|         999.|         39.75|      39710.25|
|230       |Sardines                                 |PC|         757.|         20.03|      15162.71|
|231       |Eggs                                     |PC|         179.|         36.22|       6483.38|
|232       |Lentils                                  |PC|         672.|         48.62|      32672.64|
|233       |Soap                                     |PC|          20.|         40.10|        802.00|
|234       |Flour                                    |PC|         761.|          2.55|       1940.55|
|235       |Cereal                                   |PC|         963.|         27.68|      26655.84|
|236       |Cauliflower                              |PC|         547.|         10.43|       5705.21|
|237       |Ketchup                                  |PC|         807.|         19.68|      15881.76|
|238       |Shampoo                                  |PC|         303.|         15.82|       4793.46|
|239       |Olive Oil                                |PC|         917.|         26.32|      24135.44|
|240       |Toothpaste                               |PC|         271.|         25.01|       6777.71|
|241       |Olive Oil                                |PC|         872.|         29.53|      25750.16|
|242       |Orange                                   |PC|         599.|         36.07|      21605.93|
|243       |Pork Chop                                |PC|         143.|          4.21|        602.03|
|244       |Peanut Butter                            |PC|         830.|         16.62|      13794.60|
|245       |Avocado                                  |PC|         982.|         46.36|      45525.52|
|246       |Milk                                     |PC|         869.|         17.32|      15051.08|
|247       |Pepper                                   |PC|          48.|         39.56|       1898.88|
|248       |Tomato Sauce                             |PC|          94.|         24.12|       2267.28|
|249       |Onion                                    |PC|         505.|         31.07|      15690.35|
|250       |Soy Sauce                                |PC|          69.|         26.25|       1811.25|
|251       |Zucchini                                 |PC|         257.|         48.00|      12336.00|
|252       |Eggplant                                 |PC|          53.|         36.89|       1955.17|
|253       |Garlic                                   |PC|         715.|         16.13|      11532.95|
|254       |Lemon                                    |PC|         506.|          9.24|       4675.44|
|255       |Lemon                                    |PC|         952.|         18.16|      17288.32|
|256       |Juice                                    |PC|         752.|          3.56|       2677.12|
|257       |Salt                                     |PC|          88.|         49.08|       4319.04|
|258       |Pepper                                   |PC|         235.|         25.54|       6001.90|
|259       |Yogurt                                   |PC|         531.|         26.66|      14156.46|
|260       |Beans                                    |PC|         718.|         26.19|      18804.42|
|261       |Potato Chips                             |PC|         887.|         18.00|      15966.00|
|262       |Coffee                                   |PC|         770.|          7.51|       5782.70|
|263       |Vinegar                                  |PC|         345.|         38.82|      13392.90|
|264       |Honey                                    |PC|         483.|         14.84|       7167.72|
|265       |Soap                                     |PC|         656.|         46.65|      30602.40|
|266       |Tomato Sauce                             |PC|         872.|          7.16|       6243.52|
|267       |Soy Sauce                                |PC|         520.|          7.04|       3660.80|
|268       |Frozen Pizza                             |PC|         133.|         21.77|       2895.41|
|269       |Shampoo                                  |PC|         452.|          5.78|       2612.56|
|270       |Wine                                     |PC|         218.|         26.43|       5761.74|
|271       |Oil                                      |PC|         886.|          0.53|        469.58|
|272       |Cucumber                                 |PC|         925.|         48.83|      45167.75|
|273       |Eggs                                     |PC|         850.|         43.22|      36737.00|
|274       |Chicken Breast                           |PC|         597.|         11.52|       6877.44|
|275       |Cucumber                                 |PC|         124.|         30.40|       3769.60|
|276       |Salmon                                   |PC|         554.|         42.86|      23744.44|
|277       |Cookies                                  |PC|         774.|         42.14|      32616.36|
|278       |Mushrooms                                |PC|         978.|          9.28|       9075.84|
|279       |Ketchup                                  |PC|         292.|         14.88|       4344.96|
|280       |Olive Oil                                |PC|          18.|          8.40|        151.20|
|281       |Pork Chop                                |PC|         354.|         49.68|      17586.72|
|282       |Zucchini                                 |PC|         116.|         15.99|       1854.84|
|283       |Zucchini                                 |PC|         648.|         16.00|      10368.00|
|284       |Pork Chop                                |PC|         758.|         42.56|      32260.48|
|285       |Broccoli                                 |PC|         266.|         33.79|       8988.14|
|286       |Chocolate                                |PC|         179.|         42.59|       7623.61|
|287       |Tomato Sauce                             |PC|         935.|         26.66|      24927.10|
|288       |Chickpeas                                |PC|         611.|         38.11|      23285.21|
|289       |Chocolate                                |PC|         164.|         27.70|       4542.80|
|290       |Green Beans                              |PC|         629.|         36.70|      23084.30|
|291       |Cauliflower                              |PC|         998.|         32.99|      32924.02|
|292       |Vinegar                                  |PC|         882.|         12.32|      10866.24|
|293       |Jam                                      |PC|         897.|         41.98|      37656.06|
|294       |Sardines                                 |PC|         458.|          9.59|       4392.22|
|295       |Bread                                    |PC|         949.|         39.20|      37200.80|
|296       |Mayonnaise                               |PC|          35.|         43.09|       1508.15|
|297       |Onion                                    |PC|         172.|         45.15|       7765.80|
|298       |Pepper                                   |PC|         603.|         12.60|       7597.80|
|299       |Green Beans                              |PC|          89.|         26.95|       2398.55|
|300       |Onion                                    |PC|         502.|         27.52|      13815.04|
|301       |Tomato Sauce                             |PC|         517.|         41.68|      21548.56|
|302       |Corn                                     |PC|         142.|         14.30|       2030.60|
|303       |Chocolate                                |PC|         966.|          8.79|       8491.14|
|304       |Ice Cream                                |PC|         901.|         23.25|      20948.25|
|305       |Frozen Pizza                             |PC|         416.|          7.99|       3323.84|
|306       |Rice                                     |PC|         661.|         15.25|      10080.25|
|307       |Paper Towels                             |PC|         176.|         36.26|       6381.76|
|308       |Carrot                                   |PC|         132.|         36.75|       4851.00|
|309       |Paper Towels                             |PC|         443.|         16.01|       7092.43|
|310       |Yogurt                                   |PC|         309.|         37.49|      11584.41|
|311       |Frozen Vegetables                        |PC|         226.|         25.80|       5830.80|
|312       |Rice                                     |PC|         920.|         28.06|      25815.20|
|313       |Chicken Breast                           |PC|         792.|          8.70|       6890.40|
|314       |Orange                                   |PC|         187.|          3.26|        609.62|
|315       |Peanut Butter                            |PC|         271.|         40.93|      11092.03|
|316       |Jam                                      |PC|         298.|         43.07|      12834.86|
|317       |Tomato Sauce                             |PC|         793.|         24.00|      19032.00|
|318       |Soft Drinks                              |PC|         553.|         43.15|      23861.95|
|319       |Cucumber                                 |PC|         875.|         36.05|      31543.75|
|320       |Cucumber                                 |PC|         598.|          1.90|       1136.20|
|321       |Chickpeas                                |PC|         758.|         43.71|      33132.18|
|322       |Sardines                                 |PC|         768.|         25.37|      19484.16|
|323       |Orange                                   |PC|         904.|          7.50|       6780.00|
|324       |Lentils                                  |PC|         799.|         12.25|       9787.75|
|325       |Eggplant                                 |PC|         845.|         31.20|      26364.00|
|326       |Ground Beef                              |PC|         734.|         22.08|      16206.72|
|327       |Watermelon                               |PC|         698.|          4.16|       2903.68|
|328       |Flour                                    |PC|         114.|         20.56|       2343.84|
|329       |Garlic                                   |PC|         956.|          3.72|       3556.32|
|330       |Paper Towels                             |PC|         171.|         42.47|       7262.37|
|331       |Cookies                                  |PC|         712.|         15.20|      10822.40|
|332       |Chicken Breast                           |PC|         379.|          4.15|       1572.85|
|333       |Lentils                                  |PC|         737.|         48.99|      36105.63|
|334       |Sardines                                 |PC|         643.|         42.08|      27057.44|
|335       |Chicken Breast                           |PC|         847.|         20.64|      17482.08|
|336       |Cauliflower                              |PC|         502.|         10.33|       5185.66|
|337       |Eggs                                     |PC|         855.|         35.23|      30121.65|
|338       |Chicken Breast                           |PC|         978.|         12.91|      12625.98|
|339       |Shampoo                                  |PC|         231.|         39.43|       9108.33|
|340       |Milk                                     |PC|         506.|          7.24|       3663.44|
|341       |Juice                                    |PC|         879.|         40.85|      35907.15|
|342       |Flour                                    |PC|         575.|         24.11|      13863.25|
|343       |Mustard                                  |PC|         204.|          9.50|       1938.00|
|344       |Whiskey                                  |PC|         912.|         34.53|      31491.36|
|345       |Tomato Sauce                             |PC|          96.|         25.18|       2417.28|
|346       |Ketchup                                  |PC|         471.|          2.14|       1007.94|
|347       |Coffee                                   |PC|         872.|         43.68|      38088.96|
|348       |Sardines                                 |PC|         470.|         43.43|      20412.10|
|349       |Tuna Can                                 |PC|         349.|         13.82|       4823.18|
|350       |Lime                                     |PC|         172.|         13.59|       2337.48|
|351       |Tea                                      |PC|          58.|         48.62|       2819.96|
|352       |Tomato                                   |PC|         238.|         18.76|       4464.88|
|353       |Cheese                                   |PC|         691.|         39.10|      27018.10|
|354       |Corn                                     |PC|         336.|         30.96|      10402.56|
|355       |Carrot                                   |PC|         569.|         23.33|      13274.77|
|356       |Vinegar                                  |PC|         102.|          1.48|        150.96|
|357       |Salmon                                   |PC|         171.|         40.13|       6862.23|
|358       |Milk                                     |PC|         481.|         40.00|      19240.00|
|359       |Lettuce                                  |PC|         926.|         33.37|      30900.62|
|360       |Vinegar                                  |PC|         458.|         17.70|       8106.60|
|361       |Potato Chips                             |PC|         923.|         29.94|      27634.62|
|362       |Coffee                                   |PC|         272.|         13.05|       3549.60|
|363       |Peanut Butter                            |PC|         943.|         27.98|      26385.14|
|364       |Grapes                                   |PC|         253.|         13.23|       3347.19|
|365       |Eggs                                     |PC|          25.|         19.76|        494.00|
|366       |Coffee                                   |PC|         552.|         43.92|      24243.84|
|367       |Shampoo                                  |PC|         255.|         25.04|       6385.20|
|368       |Watermelon                               |PC|         491.|          5.35|       2626.85|
|369       |Shampoo                                  |PC|          93.|         27.60|       2566.80|
|370       |Rice                                     |PC|         497.|         42.27|      21008.19|
|371       |Carrot                                   |PC|         769.|         18.84|      14487.96|
|372       |Jam                                      |PC|         787.|          1.43|       1125.41|
|373       |Cauliflower                              |PC|         727.|         31.51|      22907.77|
|374       |Pork Chop                                |PC|         776.|         33.46|      25964.96|
|375       |Flour                                    |PC|         460.|         45.51|      20934.60|
|376       |Paper Towels                             |PC|         249.|         17.82|       4437.18|
|377       |Yogurt                                   |PC|         272.|         14.23|       3870.56|
|378       |Yogurt                                   |PC|          24.|         35.28|        846.72|
|379       |Lemon                                    |PC|         633.|         14.16|       8963.28|
|380       |Watermelon                               |PC|         733.|         42.45|      31115.85|
|381       |Sardines                                 |PC|         777.|         17.80|      13830.60|
|382       |Lemon                                    |PC|          36.|         29.63|       1066.68|
|383       |Mushrooms                                |PC|         400.|         38.63|      15452.00|
|384       |Cookies                                  |PC|         690.|         20.77|      14331.30|
|385       |Soy Sauce                                |PC|         309.|         24.82|       7669.38|
|386       |Sardines                                 |PC|         886.|         33.58|      29751.88|
|387       |Oatmeal                                  |PC|         798.|         33.39|      26645.22|
|388       |Eggs                                     |PC|         430.|         40.95|      17608.50|
|389       |Lime                                     |PC|         425.|         10.57|       4492.25|
|390       |Salmon                                   |PC|          75.|          5.55|        416.25|
|391       |Peas                                     |PC|         634.|         46.29|      29347.86|
|392       |Rice                                     |PC|         331.|         13.78|       4561.18|
|393       |Chicken Breast                           |PC|         657.|         12.79|       8403.03|
|394       |Grapes                                   |PC|         291.|         46.49|      13528.59|
|395       |Cheese                                   |PC|         819.|          3.12|       2555.28|
|396       |Banana                                   |PC|         565.|         28.65|      16187.25|
|397       |Grapes                                   |PC|         313.|          2.24|        701.12|
|398       |Mayonnaise                               |PC|         438.|         39.50|      17301.00|
|399       |Cauliflower                              |PC|          23.|         13.68|        314.64|
|400       |Beans                                    |PC|         119.|         43.82|       5214.58|
|401       |Green Beans                              |PC|         718.|         18.21|      13074.78|
|402       |Wine                                     |PC|         702.|         41.13|      28873.26|
|403       |Beer                                     |PC|         821.|         26.53|      21781.13|
|404       |Cauliflower                              |PC|         221.|         22.46|       4963.66|
|405       |Bread                                    |PC|         789.|         12.23|       9649.47|
|406       |Butter                                   |PC|         650.|         35.27|      22925.50|
|407       |Tuna Can                                 |PC|         547.|         29.85|      16327.95|
|408       |Mayonnaise                               |PC|          33.|         18.70|        617.10|
|409       |Wine                                     |PC|         219.|         20.22|       4428.18|
|410       |Candy                                    |PC|          57.|          7.93|        452.01|
|411       |Chocolate                                |PC|         952.|         26.41|      25142.32|
|412       |Sugar                                    |PC|         519.|         41.88|      21735.72|
|413       |Tomato Sauce                             |PC|         982.|         38.88|      38180.16|
|414       |Chicken Breast                           |PC|          65.|         38.94|       2531.10|
|415       |Lettuce                                  |PC|         738.|         36.01|      26575.38|
|416       |Flour                                    |PC|          37.|         31.25|       1156.25|
|417       |Vinegar                                  |PC|         478.|         21.31|      10186.18|
|418       |Beer                                     |PC|         589.|         24.50|      14430.50|
|419       |Pepper                                   |PC|         704.|         41.41|      29152.64|
|420       |Peanut Butter                            |PC|         313.|         13.10|       4100.30|
|421       |Jam                                      |PC|          65.|         42.09|       2735.85|
|422       |Ice Cream                                |PC|         105.|         26.52|       2784.60|
|423       |Eggs                                     |PC|         180.|          1.14|        205.20|
|424       |Grapes                                   |PC|         561.|         19.06|      10692.66|
|425       |Lime                                     |PC|         744.|         13.41|       9977.04|
|426       |Broccoli                                 |PC|         631.|         33.46|      21113.26|
|427       |Orange                                   |PC|         737.|         40.15|      29590.55|
|428       |Beans                                    |PC|         219.|         10.48|       2295.12|
|429       |Chicken Breast                           |PC|         724.|         19.75|      14299.00|
|430       |Chickpeas                                |PC|         771.|         29.47|      22721.37|
|431       |Flour                                    |PC|         945.|         14.82|      14004.90|
